Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
2,0699,"Claiborne Farm, Agent","","Inspector Havers","05/05/2016","DB/BR",Filly,"Tiznow","Criminologist","","","","Broodmare Prospect","Fred W. Hertrich, III",55000
2,0700,"Gainesway, Agent XIV","","Inspeight of Us","05/15/2012","DB/BR",Mare,"Speightstown","Miss Hot Salsa","Hard Spun","04/26/2019","pregnant","Broodmare","Out",0
2,0701,"Indian Creek, Agent","","Into Mischief --- Inspired by Grace","03/07/2019","B",Colt,"Into Mischief","Inspired by Grace","","","","Yearling","Out",0
2,0702,"Eaton Sales, Agent","","Malibu Moon --- Into Summer","03/05/2019","B",Colt,"Malibu Moon","Into Summer","","","","Yearling","Out",0
2,0703,"Four Star Sales, Agent","","Goldencents --- It's an Honor","04/26/2019","CH",Filly,"Goldencents","It's an Honor","","","","Yearling","South Paw",25000
2,0704,"Bluegrass Thoroughbred Services Inc., Agent V","","Jimmy Creed --- Jan's Perfect Star","05/19/2019","DB/BR",Filly,"Jimmy Creed","Jan's Perfect Star","","","","Yearling","South Paw",25000
2,0705,"Indian Creek, Agent","","Jemima's Pearl","04/15/2009","B",Mare,"Distorted Humor","Jemima (GB)","Medaglia d'Oro","04/30/2019","pregnant","Broodmare","SF Bloodstock",140000
2,0706,"Indian Creek, Agent","","Gun Runner --- Jemima's Pearl","03/08/2019","CH",Filly,"Gun Runner","Jemima's Pearl","","","","Yearling","Rebel Thoroughbreds / Rowland Hancock",50000
2,0707,"Four Star Sales, Agent","","Jeremiah Jewel","01/28/2014","B",Mare,"Bodemeister","Tara From the Cape","Runhappy","06/08/2019","pregnant","Broodmare","Tony Russo, Agent for Jeremia Rudan",15000
2,0708,"James B. Keogh (Grovendale), Agent V","","Jill's Firebird","03/23/2014","CH",Mare,"Birdstone","Easy Slam","Unified","03/15/2019","pregnant","Broodmare","Blue Wing Bloodstock",32000
2,0709,"Eaton Sales, Agent","","Air Force Blue --- Judy B","05/12/2019","CH",Filly,"Air Force Blue","Judy B","","","","Yearling","Andre Lynch, Agent",100000
2,0710,"Indian Creek, Agent","","Juliette Ava","02/09/2008","B",Mare,"Medaglia d'Oro","Cherokee Crossing","Practical Joke","03/19/2019","pregnant","Broodmare","Out",0
2,0711,"Indian Creek, Agent","","Practical Joke --- Juliette Ava","02/14/2019","B",Filly,"Practical Joke","Juliette Ava","","","","Yearling","Out",0
2,0712,"Claiborne Farm, Agent","","Just a Look","04/12/2016","B",Filly,"Lookin At Lucky","Charming N Lovable","","","","Racing or Broodmare Prospect","Out",0
2,0713,"Warrendale Sales, Agent XIII","","Arrogate --- Kalabaka","04/08/2019","GR/RO",Filly,"Arrogate","Kalabaka","","","","Yearling","Out",0
2,0714,"Lane's End, Agent","","Karmically","02/04/2016","DB/BR",Filly,"Union Rags","One Four Three","","","","Broodmare Prospect","Hugh Moore",4500
2,0715,"Four Star Sales, Agent","","Exaggerator --- Katispsublue","05/04/2019","B",Colt,"Exaggerator","Katispsublue","","","","Yearling","Gina Fennell",6500
2,0716,"Stuart Morris, Agent VII","","Maclean's Music --- Kitty Cat Express","02/07/2019","CH",Filly,"Maclean's Music","Kitty Cat Express","","","","Yearling","Shanbally Acres",40000
2,0717,"Brookdale Sales, Agent for J.R.Ward Stables","","Lord Nelson --- Kitty Kat Kate","04/29/2019","CH",Filly,"Lord Nelson","Kitty Kat Kate","","","","Yearling","*RNA (37,000)",---
2,0718,"Eaton Sales, Agent","","Frosted --- Knacque","02/15/2019","DB/BR",Colt,"Frosted","Knacque","","","","Yearling","Sean Perl Bloodstock, Agent",65000.00
2,0719,"Burleson Farms, Agent","","Dialed In --- Kristy Beethoven","03/08/2019","DB/BR",Filly,"Dialed In","Kristy Beethoven","","","","Yearling","Out",0
2,0720,"Eaton Sales, Agent","","La Alpujarra (VEN)","02/15/2011","DB/BR",Mare,"Pioneerof the Nile","Attagal","Tiznow","06/01/2019","pregnant","Broodmare","Pony World Farm",26000
2,0721,"Gainesway, Agent I","","La Boheme","04/14/2010","CH",Mare,"Giant's Causeway","Raspberry Eggcream","Lookin At Lucky","03/13/2019","pregnant","Broodmare","Chad Schumer, Agent",16000
2,0722,"Bill Murphy, Agent IV","","Lady Acclamation","02/19/2014","DB/BR",Mare,"Acclamation","Perfectly Perfect","Exaggerator","04/20/2019","pregnant","Broodmare","Tanglewood Farm",35000
2,0723,"James B. Keogh (Grovendale), Agent XXX","","Lady Luck","01/27/2017","DB/BR",Filly,"Medaglia d'Oro","Catch My Drift","","","","Broodmare Prospect","John Hicks",35000
2,0724,"Paramount Sales, Agent XXXIX","","Ghostzapper --- Lady of the Nile","03/16/2019","DB/BR",Filly,"Ghostzapper","Lady of the Nile","","","","Yearling","Out",0
2,0725,"James B. Keogh (Grovendale), Agent for","Stonestreet Stables LLC","Curlin --- Lady Samuri","04/13/2017","CH",Filly,"Curlin","Lady Samuri","","","","Broodmare Prospect","William Nicks",2500
2,0726,"Lane's End, Agent","","Lady Suebee","02/16/2015","B",Mare,"First Defence","Freeroll","","","","Racing or Broodmare Prospect","Out",0
2,0727,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Honor Code --- Lady Zeva","03/14/2019","DB/BR",Colt,"Honor Code","Lady Zeva","","","","Yearling","*RNA (47,000)",---
2,0728,"Indian Creek, Agent","","Lefreakcestchic","01/29/2012","DB/BR",Mare,"Bellamy Road","So Chic","Tonalist","06/29/2019","pregnant","Broodmare","Chesapeake Farm, Agent",2500
2,0729,"Warrendale Sales, Agent I","","Lemon Princess","04/29/2015","B",Mare,"Lemon Drop Kid","Princess Taylor (GB)","","","","Broodmare Prospect","Short Term Investments",2700
2,0730,"James B. Keogh (Grovendale), Agent for","Stonestreet Thoroughbred Holdings LLC","Speightstown --- Le Relais","03/17/2016","CH",Filly,"Speightstown","Le Relais","","","","Broodmare Prospect","Out",0
2,0731,"James B. Keogh (Grovendale), Agent XI","","Tonalist --- License to Speed","05/03/2019","CH",Colt,"Tonalist","License to Speed","","","","Yearling","Homewrecker Stable LLC",30000
2,0732,"Four Star Sales, Agent","","Cairo Prince --- Lili Von Shtupp","05/04/2019","DB/BR",Filly,"Cairo Prince","Lili Von Shtupp","","","","Yearling","Harvest Landing",2500
2,0733,"Indian Creek, Agent","","Lillie's Answer","04/26/2012","B",Mare,"Kitten's Joy","Empires Answer","Accelerate","04/05/2019","pregnant","Broodmare","Douglas Arnold, Agent",42000
2,0734,"Indian Creek, Agent","","Locked On","04/26/2015","DB/BR",Mare,"Bodemeister","Dead Aim","Liam's Map","05/09/2019","pregnant","Broodmare","Out",0
2,0735,"Indian Creek, Agent","","Liam's Map --- Locked On","03/08/2019","GR/RO",Colt,"Liam's Map","Locked On","","","","Yearling","Out",0
2,0736,"Paramount Sales, Agent XXIII","","Longwaytothemoon","02/26/2016","B",Filly,"Gio Ponti","Tipperary Moon","","","","Racing or Broodmare Prospect","Tony Gattellaro",1000
2,0737,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Lookout Lady","03/14/2011","B",Mare,"Smart Strike","Sapphire n' Silk","Union Rags","03/16/2019","pregnant","Broodmare","Tempo West Stable",155000
2,0738,"James B. Keogh (Grovendale), Agent XV","","Love to Score","04/26/2010","GR/RO",Mare,"Even the Score","Love to Gamble","Sky Mesa","04/04/2019","pregnant","Broodmare","Ledgelands, Agent",23000
2,0739,"Brookdale Sales, Agent","","Lucky Girasol","02/25/2016","B",Filly,"Lookin At Lucky","Warrior Girl","","","","Broodmare Prospect","Tom Patton",10000
2,0740,"James B. Keogh (Grovendale), Agent XXX","","Pioneerof the Nile --- Lucky Number","04/28/2018","DB/BR",Filly,"Pioneerof the Nile","Lucky Number","","","","Racing or Broodmare Prospect","Country Life Farm, Agent",35000
2,0741,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Lunch Hour","05/06/2011","DB/BR",Mare,"Medaglia d'Oro","Sis City","Lea","06/05/2019","pregnant","Broodmare","Zach Madden for Conrad Farms",230000
2,0742,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Maclean's Music --- Lunch Hour","04/20/2019","CH",Colt,"Maclean's Music","Lunch Hour","","","","Yearling","Legend Inc.",25000
2,0743,"Brookdale Sales, Agent","","Kantharos --- Magic Humor","04/17/2019","CH",Filly,"Kantharos","Magic Humor","","","","Yearling","South Paw",50000
2,0744,"Eaton Sales, Agent","","Magna Rose","03/06/2015","DB/BR",Mare,"Magna Graduate","Woodflower","","","","Racing or Broodmare Prospect","Out",0
2,0745,"Indian Creek, Agent","","Practical Joke --- Magnificent Margo","03/21/2019","B",Filly,"Practical Joke","Magnificent Margo","","","","Yearling","Out",0
2,0746,"Indian Creek, Agent","","Magnificent Margo","01/26/2012","DB/BR",Mare,"Congrats","Holy Miss","Classic Empire","04/19/2019","pregnant","Broodmare","Christopher Shelli",56000
2,0747,"Four Star Sales, Agent","","American Pharoah --- Majestic Fantasy","01/17/2019","B",Filly,"American Pharoah","Majestic Fantasy","","","","Yearling","Out",0
2,0748,"Indian Creek, Agent","","Uncle Mo --- Majestic Heat","03/16/2019","B",Colt,"Uncle Mo","Majestic Heat","","","","Yearling","Shepherd Equine Advisors, Agent for Larry Hirsch",140000
2,0749,"James B. Keogh (Grovendale), Agent XVI","","Makeme Dream","01/25/2016","B",Filly,"Quality Road","Primadona (IRE)","","","","Racing or Broodmare Prospect","Dan Preiss, Agent for Lea Farms LLC",92000
2,0750,"James B. Keogh (Grovendale), Agent for","Stonestreet Thoroughbred Holdings LLC","Malibu Cougar","01/22/2008","CH",Mare,"Malibu Moon","More Than Pretty","Maclean's Music","05/15/2019","pregnant","Broodmare","Michael Slezak, Agent",15000.00
2,0751,"Lane's End, Agent","","Malibu Drive","01/27/2014","B",Mare,"Malibu Moon","Scenic Drive","Connect","04/26/2019","pregnant","Broodmare","Corser Thoroughbreds",75000
2,0752,"Indian Creek, Agent","","Practical Joke --- Mallory Street","02/17/2019","DB/BR",Colt,"Practical Joke","Mallory Street","","","","Yearling","Out",0
2,0753,"Indian Creek, Agent","","Union Rags --- Mambo Bell","02/13/2019","B",Colt,"Union Rags","Mambo Bell","","","","Yearling","Bobby Rankin",17000
2,0754,"Eaton Sales, Agent","","Jimmy Creed --- Marieval","04/11/2019","GR/RO",Colt,"Jimmy Creed","Marieval","","","","Yearling","Out",0
2,0755,"Paramount Sales, Agent XI","","Marner","03/29/2016","DB/BR",Filly,"Malibu Moon","Goldena Podkove","","","","Broodmare Prospect","Out",0
2,0756,"Lane's End, Agent","","Maroubra (FR)","03/06/2015","B",Mare,"Lawman (FR)","Mirrorblack (IRE)","","","","Racing or Broodmare Prospect","Out",0
2,0757,"Lane's End, Agent","","Connect --- Martha's Moon","03/14/2019","B",Filly,"Connect","Martha's Moon","","","","Yearling","Harvest Landing",25000
2,0758,"James B. Keogh (Grovendale), Agent XIV","","Astern (AUS) --- Mary's Angel","04/27/2019","B",Filly,"Astern (AUS)","Mary's Angel","","","","Yearling","Melvin St. Clair Jr",8000.00
2,0759,"Burleson Farms, Agent","","Materium","04/23/2015","B",Mare,"Street Cry (IRE)","Frisk Her","Hard Spun","05/26/2019","pregnant","Broodmare","*RNA (37,000)",---
2,0760,"Winchester Equine (William Snowden), Agent","","Mineshaft --- Math Class","04/23/2019","DB/BR",Colt,"Mineshaft","Math Class","","","","Yearling","Tory Chapman",24000
2,0761,"Indian Creek, Agent","","Classic Empire --- Medea (IRE)","04/25/2019","B",Colt,"Classic Empire","Medea (IRE)","","","","Yearling","Out",0
2,0762,"Warrendale Sales, Agent VIII","","Mela Dramatically","01/25/2008","GR/RO",Mare,"Theatrical (IRE)","Guagamela","Mendelssohn","04/07/2019","pregnant","Broodmare","Equine Futures, LLC",26000
2,0763,"Gainesway, Agent XII","","Midnight Hoot","04/01/2017","DB/BR",Filly,"Midnight Lute","Panthera","","","","Broodmare Prospect","Cove Bloodstock",27000
2,0764,"Sequel New York, Agent I","","Midnight Watch","01/12/2010","CH",Mare,"Stormy Atlantic","Trade Only","Good Magic","03/09/2019","pregnant","Broodmare","Out",0
2,0765,"Brookdale Sales, Agent","","Nyquist --- Mighty Moon","03/03/2019","DB/BR",Colt,"Nyquist","Mighty Moon","","","","Yearling","Walnut Hill Bloodstock",240000
2,0766,"Buck Pond Farm (Douglas S. Arnold), Agent","","Miss Arrangement","05/07/2011","CH",Mare,"Mr. Greeley","Shy Greeting (ARG)","West Coast","06/04/2019","pregnant","Broodmare","Fred W. Hertrich, III",92000
2,0767,"Buck Pond Farm (Douglas S. Arnold), Agent","","Miss Brown Sugar","01/25/2010","DB/BR",Mare,"Big Brown","Gata Bella","Tapiture","03/14/2019","pregnant","Broodmare","Spring Farm",10000
2,0768,"Paramount Sales, Agent XLVI","","Miss Larkspur","02/24/2013","CH",Mare,"More Than Ready","Gasia","Exaggerator","04/24/2019","pregnant","Broodmare","Wark Bloodstock",15000
2,0769,"Gainesway, Agent for Waymore LLC","","Miss Major","05/09/2011","B",Mare,"Candy Ride (ARG)","Double Major","Nyquist","05/16/2019","pregnant","Broodmare","Out",0
2,0770,"Mulholland Springs, Agent X","","Tiznow --- Miss Metropolitan","03/21/2019","B",Colt,"Tiznow","Miss Metropolitan","","","","Yearling","Two Tigers Bloodstock (Bloodstock Investments VII)",110000
2,0771,"Indian Creek, Agent","","Noble Mission (GB) --- Miz Topgallant","02/18/2019","B",Colt,"Noble Mission (GB)","Miz Topgallant","","","","Yearling","Homewrecker Stable LLC",32000
2,0772,"Stuart Morris, Agent VI","","Exaggerator --- Monarchy","03/13/2019","DB/BR",Filly,"Exaggerator","Monarchy","","","","Yearling","Out",0
2,0773,"Keith Lancaster, Agent","","Morilles (GB)","02/08/2009","B",Mare,"Montjeu (IRE)","Niner's Home","Bernardini","04/23/2019","pregnant","Broodmare","*RNA (37,000)",---
2,0774,"Lane's End, Agent","","Munificent","02/03/2014","CH",Mare,"Munnings","Gayatri","","","","Broodmare Prospect","Out",0
2,0775,"James B. Keogh (Grovendale), Agent XXI","","My Adeline","03/14/2013","B",Mare,"Girolamo","Hot Spell","Always Dreaming","02/23/2019","pregnant","Broodmare","Out",0
2,0776,"Trackside Farm (Tom Evans), Agent","","Cupid --- My Curlina","02/17/2019","CH",Filly,"Cupid","My Curlina","","","","Yearling","He Got Us Bloodstock",130000
2,0777,"Eaton Sales, Agent","","Verrazano --- My Friend C. Z.","02/20/2019","DB/BR",Filly,"Verrazano","My Friend C. Z.","","","","Yearling","Out",0
2,0778,"Gainesway, Agent VIII","","My Happy Place","02/08/2016","B",Filly,"Tapit","My Happy Face","","","","Racing or Broodmare Prospect","Out",0
2,0779,"Paramount Sales, Agent VII","","Outwork --- My Lady Munnings","03/01/2019","DB/BR",Colt,"Outwork","My Lady Munnings","","","","Yearling","Out",0
2,0780,"James B. Keogh (Grovendale), Agent I","","My Pi Romancer","03/23/2014","DB/BR",Mare,"Unusual Heat","Free the Magic","Candy Ride (ARG)","04/08/2019","pregnant","Broodmare","*RNA (145,000)",---
2,0781,"Blandford Stud (Padraig Campion), Agent","","My Rolex","04/19/2007","DB/BR",Mare,"Proud Accolade","Fuzzy Navel","Palace Malice","03/04/2019","pregnant","Broodmare","*RNA (65,000)",---
2,0782,"Buck Pond Farm (Douglas S. Arnold), Agent","","Need an Angel","04/21/2008","DB/BR",Mare,"Pulpit","Halo Reality","Collected","05/06/2019","pregnant","Broodmare","Mary Motion, Agent",30000
2,0783,"Mill Ridge Sales, Agent","","Never Give Up","02/28/2016","DB/BR",Mare,"War Front","Ensenada","Empire Maker","04/12/2019","pregnant","Broodmare","*RNA (180,000)",---
2,0784,"Mulholland Springs, Agent V","","Saver the Kiss","02/05/2019","B",Filly,"Super Saver","Nevertoomanykisses","","","","Yearling","Kent Bird",3000
2,0785,"Eaton Sales, Agent","","No Alimony","03/31/2016","GR/RO",Mare,"Speightstown","Well Monied","Cupid","03/20/2019","pregnant","Broodmare","Dr. Tan Hyka",25000
2,0786,"Paramount Sales, Agent III","","Constitution --- No Mo Lemons","02/15/2019","DB/BR",Colt,"Constitution","No Mo Lemons","","","","Yearling","Northface Bloodstock",265000
2,0787,"Lane's End, Agent","","Nonhelma","04/09/2015","B",Mare,"Majestic Warrior","Restless Song","","","","Racing or Broodmare Prospect","William Nicks",5000
2,0788,"Four Star Sales, Agent","","Liam's Map --- Obsequious","04/20/2019","GR/RO",Filly,"Liam's Map","Obsequious","","","","Yearling","PM Equine Investments, LLC",30000
2,0789,"Four Star Sales, Agent","","Tapiture --- Oh Suzy Q","03/07/2019","CH",Colt,"Tapiture","Oh Suzy Q","","","","Yearling","Blue Hen Thoroughbreds",18000
2,0790,"Lane's End, Agent","","Oh Zap","02/06/2015","B",Mare,"Ghostzapper","Oh Carole","","","","Broodmare Prospect","N W Management",25000
2,0791,"Four Star Sales, Agent","","One Last Cast","02/27/2015","B",Mare,"Algorithms","Firsttotheline","Jimmy Creed","02/20/2019","pregnant","Broodmare","Berkey Bloodstock Services, Inc.",25000
2,0792,"Warrendale Sales, Agent XVI","","One Moment in Time","04/23/2014","DB/BR",Mare,"Bodemeister","Enjoy the Moment","Kantharos","02/17/2019","pregnant","Broodmare","Out",0
2,0793,"Claiborne Farm, Agent","","Orbelina","04/13/2015","B",Mare,"Orb","Squeal","","","","Broodmare Prospect","Linda Fisher",7000
2,0794,"James B. Keogh (Grovendale), Agent for","Stonestreet Stables LLC","Super Saver --- Street Story","02/28/2017","CH",Colt,"Super Saver","Street Story","","","","Racing Prospect","Eagle View",22000
2,0795,"Claiborne Farm, Agent","","U S Navy Cross","03/16/2016","B",Colt,"Curlin","Honor Bestowed","","","","Racing or Stallion Prospect","Out",0
2,0795A,"Eaton Sales, Agent","","Cupid --- Perazzi","02/10/2019","CH",Filly,"Cupid","Perazzi","","","","Yearling","Out",0
2,0795B,"Warrendale Sales, Agent XIX","","Summer Shamal (FR)","03/21/2015","DB/BR",Mare,"Wootton Bassett (GB)","Chinook Wind (IRE)","Goldencents","05/06/2019","pregnant","Broodmare","*RNA (37,000)",---
2,0795C,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Act Now","02/03/2015","B",Mare,"Street Sense","Always Trouble","Kitten's Joy","04/25/2019","pregnant","Broodmare","Springwood, LLC/ Bill Werner",150000
2,0795D,"Paramount Sales, Agent LIV","","Enaya Alrabb","03/28/2016","B",Filly,"Uncle Mo","Lotta Rhythm","","","","Broodmare Prospect","James Schenck, Agent",640000
2,0795E,"Glen Hill Farm","","Inflamed","02/23/2010","CH",Mare,"Unusual Heat","Little Hottie","Tapiture","05/29/2019","pregnant","Broodmare","Shadai Farm",525000
2,0795F,"James M. Herbener Jr., Agent for Fox Hill Farms Inc.","","Land of Liberty","04/29/2017","B",Filly,"Uncle Mo","Classofsixtythree","","","","Racing or Broodmare Prospect","Baruda Stud",62000
2,0795G,"Warrendale Sales, Agent XIX","","Madame Mayra","03/05/2013","CH",Mare,"Scat Daddy","Golden Peach","Lookin At Lucky","03/07/2019","pregnant","Broodmare","*RNA (45,000)",---
2,0795H,"James M. Herbener Jr., Agent for Fox Hill Farms Inc.","","Maid of Honor","04/21/2017","GR/RO",Filly,"Medaglia d'Oro","Lovely Regina","","","","Racing or Broodmare Prospect","Town and Country Racing LLC",100000
2,0795I,"Warrendale Sales, Agent XIX","","Miss Gridley","03/24/2013","CH",Mare,"Street Boss","Bonita Donita","Stormy Atlantic","06/02/2019","pregnant","Broodmare","Rusty Roberts",4000
2,0795J,"Warrendale Sales, Agent XIX","","More Than Ready --- Miss Gridley","05/02/2019","B",Colt,"More Than Ready","Miss Gridley","","","","Yearling","*RNA (55,000)",---
2,0795K,"Brookdale Sales, Agent for Hardacre Farm LLC","","Pomeroys Pistol","03/28/2008","B",Mare,"Pomeroy","Prettyatthetable","Arrogate","05/19/2019","not pregnant","Broodmare","Mike Ryan, Agent",475000
2,0795L,"Four Star Sales, Agent","","Brindisi","05/09/2019","GR/RO",Colt,"Cupid","Perdy","","","","Yearling","Dailey Bloodstock, Agent",95000
2,0795M,"Claiborne Farm, Agent","","Side of Sass","01/28/2017","B",Filly,"Mineshaft","Beat the Drums","","","","Racing or Broodmare Prospect","Out",0
2,0795N,"Indian Creek, Agent","","Slap Happy (IRE)","04/04/2017","B",Filly,"Kodiac (GB)","Happy Land (IRE)","","","","Broodmare Prospect","William Nicks",1000
